date,home_team_abbr,away_team_abbr,home_ml,away_ml
2022-04-20T02:10:00+00:00,LAD,ATL,-166,140
2022-04-20T17:40:00+00:00,MIL,PIT,-240,184
2022-04-20T18:10:00+00:00,CLE,CHW,-196,152
2022-04-20T19:10:00+00:00,LAD,ATL,-142,120
2022-04-20T19:10:00+00:00,COL,PHI,-102,-116
2022-04-20T20:10:00+00:00,SDP,CIN,-196,164
2022-04-20T21:10:00+00:00,CLE,CHW,-146,124
2022-04-20T22:07:00+00:00,OAK,BAL,-138,108
2022-04-20T22:30:00+00:00,CHC,TBR,-108,-108
2022-04-20T22:40:00+00:00,MIA,STL,-144,122
2022-04-20T22:40:00+00:00,HOU,LAA,104,-132
2022-04-20T22:40:00+00:00,DET,NYY,140,-166
2022-04-20T23:05:00+00:00,WSN,ARI,-126,108
2022-04-20T23:10:00+00:00,BOS,TOR,-108,-118
2022-04-20T23:10:00+00:00,NYM,SFG,104,-122
2022-04-21T00:10:00+00:00,KCR,MIN,-128,100
2022-04-21T01:40:00+00:00,SEA,TEX,-162,136
2022-04-21T17:10:00+00:00,DET,NYY,146,-174
2022-04-21T17:10:00+00:00,NYM,SFG,-118,-108
2022-04-21T17:10:00+00:00,CLE,CHW,126,-148
2022-04-21T17:35:00+00:00,BOS,TOR,-102,-116
2022-04-21T18:10:00+00:00,KCR,MIN,120,-142
2022-04-21T19:37:00+00:00,OAK,BAL,-136,116
2022-04-21T20:05:00+00:00,WSN,ARI,-134,114
2022-04-21T23:40:00+00:00,CHC,PIT,-174,146
2022-04-22T01:40:00+00:00,SEA,TEX,-132,112
2022-04-22T22:40:00+00:00,CIN,STL,104,-122
2022-04-22T23:05:00+00:00,WSN,SFG,116,-136
2022-04-22T23:05:00+00:00,PHI,MIL,-126,108
2022-04-22T23:05:00+00:00,NYY,CLE,-196,164
2022-04-22T23:10:00+00:00,DET,COL,-142,120
2022-04-22T23:10:00+00:00,TBR,BOS,-150,118
2022-04-22T23:20:00+00:00,ATL,MIA,-138,108
2022-04-23T00:05:00+00:00,CHC,PIT,-176,138
2022-04-23T00:10:00+00:00,HOU,TOR,-176,138
2022-04-23T00:10:00+00:00,MIN,CHW,-118,-108
2022-04-23T01:38:00+00:00,LAA,BAL,-190,160
2022-04-23T01:40:00+00:00,ARI,NYM,-102,-124
2022-04-23T01:40:00+00:00,SDP,LAD,142,-168
2022-04-23T01:40:00+00:00,SEA,KCR,-154,120
2022-04-23T01:40:00+00:00,OAK,TEX,114,-144
2022-04-23T17:05:00+00:00,WSN,SFG,146,-190
2022-04-23T17:05:00+00:00,NYY,CLE,-198,164
2022-04-23T17:10:00+00:00,DET,COL,-146,124
2022-04-23T18:20:00+00:00,CHC,PIT,-162,136
2022-04-23T20:05:00+00:00,PHI,MIL,-148,126
2022-04-23T20:05:00+00:00,MIN,CHW,-148,126
2022-04-23T20:07:00+00:00,OAK,TEX,-146,124
2022-04-23T20:10:00+00:00,HOU,TOR,106,-134
2022-04-23T20:10:00+00:00,CIN,STL,-116,-102
2022-04-23T22:10:00+00:00,TBR,BOS,-142,120
2022-04-23T22:40:00+00:00,DET,COL,410,-650
2022-04-23T23:20:00+00:00,ATL,MIA,-168,132
2022-04-24T00:10:00+00:00,ARI,NYM,142,-168
2022-04-24T00:40:00+00:00,SDP,LAD,112,-132
2022-04-24T01:07:00+00:00,LAA,BAL,-295,240
2022-04-24T01:10:00+00:00,SEA,KCR,-190,160
2022-04-24T17:10:00+00:00,TBR,BOS,-190,158
2022-04-24T17:10:00+00:00,DET,COL,-130,110
2022-04-24T17:35:00+00:00,WSN,SFG,164,-215
2022-04-24T17:35:00+00:00,ATL,MIA,-136,116
